loss,mae,val_loss,val_mae
0.009327655658125877,0.0731719583272934,0.0004848180105909705,0.020084522664546967
0.0016586028505116701,0.03220893070101738,4.2068753828061745e-05,0.005005037412047386
0.0007083753007464111,0.02110559679567814,2.401518213446252e-05,0.0037895499262958765
0.0004825275100301951,0.017093125730752945,2.6441364752827212e-05,0.003925063647329807
0.000321696512401104,0.013954676687717438,3.068477235501632e-05,0.004281502682715654
0.0002571066142991185,0.012413126416504383,3.053160253330134e-05,0.0043233055621385574
0.00022626186546403915,0.011669420637190342,6.653904711129144e-05,0.0071444823406636715
0.00015299451479222625,0.0096037108451128,4.3205986003158614e-05,0.005417600739747286
0.00011583444575080648,0.008388282731175423,4.270990757504478e-05,0.005395491141825914
0.00012321177928242832,0.008512206375598907,1.5681156583013944e-05,0.0029734817799180746
0.00011655444541247562,0.008372239768505096,1.6261627024505287e-05,0.0030508902855217457
9.670932922745124e-05,0.007715356536209583,2.188684811699204e-05,0.0035673396196216345
9.280314407078549e-05,0.007568067871034145,3.236019620089792e-05,0.004528924822807312
0.00010144207772100344,0.0079531604424119,5.288559987093322e-05,0.006484086159616709
9.686876728665084e-05,0.007865490391850471,1.679138222243637e-05,0.003150931792333722
7.077735790517181e-05,0.006664006970822811,3.8430207496276125e-05,0.005079046357423067
7.513592572649941e-05,0.006769305560737848,2.325814239156898e-05,0.003708956763148308
6.82534373481758e-05,0.006392031908035278,1.6033856809372082e-05,0.0030549117363989353
6.90682718413882e-05,0.0064021009020507336,1.5297398931579664e-05,0.002960976678878069
5.579759817919694e-05,0.005906595382839441,1.554807386128232e-05,0.002968127140775323
5.890832471777685e-05,0.005967547185719013,2.2446251023211516e-05,0.0036549060605466366
5.630194573313929e-05,0.005891886074095964,1.678429362073075e-05,0.0031564333476126194
5.79532643314451e-05,0.005724303890019655,2.9884447940276004e-05,0.004567851312458515
5.864342165295966e-05,0.005985535681247711,1.5609319234499708e-05,0.0029858665075153112
6.267793651204556e-05,0.006338134873658419,2.8184353141114116e-05,0.004385987296700478
5.2046212658751756e-05,0.005648740567266941,1.6733847587602213e-05,0.0031461138278245926
5.325202801031992e-05,0.005724585149437189,1.6355748812202364e-05,0.0030853701755404472
4.60460469184909e-05,0.0053294505923986435,1.569191772432532e-05,0.0030082252342253923
4.865226219408214e-05,0.005373101215809584,1.7360040146741085e-05,0.003234701231122017
